Code.1,Code.2,Code.3,Code.4,Code.5,Code.6,Code.7,Code.8
28.0,3.0,,,,,,
2.0,,,,,,,
31.0,,,,,,,
2.0,,,,,,,
4.0,,,,,,,
6.0,,,,,,,
1.0,,,,,,,
1.0,,,,,,,
1.0,,,,,,,
4.0,,,,,,,
29.0,,,,,,,
2.0,,,,,,,
9.0,,,,,,,
1.0,,,,,,,
4.0,,,,,,,
3.0,,,,,,,
8.0,,,,,,,
2.0,,,,,,,
4.0,,,,,,,
4.0,,,,,,,
4.0,,,,,,,
1.0,,,,,,,
15.0,,,,,,,
1.0,,,,,,,
8.0,,,,,,,
4.0,,,,,,,
2.0,,,,,,,
5.0,,,,,,,
1.0,,,,,,,
4.0,,,,,,,
4.0,,,,,,,
3.0,,,,,,,
2.0,,,,,,,
1.0,,,,,,,
2.0,,,,,,,
2.0,,,,,,,
2.0,,,,,,,
1.0,,,,,,,
1.0,,,,,,,
1.0,,,,,,,
2.0,,,,,,,
1.0,,,,,,,
1.0,,,,,,,
1.0,,,,,,,
1.0,,,,,,,
1.0,,,,,,,
1.0,,,,,,,
1.0,,,,,,,
1.0,,,,,,,
2.0,,,,,,,
2.0,,,,,,,
2.0,,,,,,,
1.0,,,,,,,
1.0,,,,,,,
1.0,,,,,,,
1.0,,,,,,,
1.0,,,,,,,
1.0,,,,,,,
,4.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,8.0,18.0,3.0,,,,
,1.0,,,,,,
,8.0,5.0,6.0,,,,2.0
,1.0,,,,,,
,2.0,,,,,,
,2.0,,,,,,
,1.0,,,,,,
,6.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,2.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,7.0,,3.0,,5.0,1.0,
,1.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,2.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,2.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,1.0,1.0,1.0,,,,1.0
,1.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,1.0
,1.0,,,,,,1.0
,1.0,,,,,,1.0
,2.0,,,,,,1.0
,1.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,2.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,1.0,,,,,,
,,1.0,,,,,
,,1.0,,,,,
,,3.0,,,,,
,,1.0,,,,,
,,1.0,,2.0,,,
,,1.0,,,,,
,,54.0,,2.0,,,
,,1.0,,,,,
,,1.0,,,,,
,,1.0,,,,,
,,1.0,,,,,
,,1.0,,,,,
,,2.0,,,,,
,,1.0,,,,,
,,1.0,,,,,
,,4.0,1.0,,,,
,,7.0,1.0,,,,
,,1.0,,,,,
,,1.0,,,,,
,,1.0,,,,,
,,1.0,,,,,
,,2.0,,,,,
,,1.0,,,,,
,,1.0,1.0,,,,
,,1.0,,,,,
,,1.0,,,,,
,,1.0,,,,,
,,1.0,,,,,
,,1.0,,,,,
,,1.0,1.0,,,,
,,1.0,,,,,
,,1.0,3.0,,,2.0,
,,1.0,,,,,
,,1.0,,,,,
,,1.0,,,,,
,,1.0,,,,,
,,1.0,,,,,
,,1.0,,,,,
,,1.0,,,,,
,,,1.0,,,,
,,,1.0,,,,
,,,62.0,,,35.0,
,,,1.0,,,,
,,,1.0,,,,
,,,1.0,,,,
,,,1.0,,,,
,,,12.0,,,46.0,
,,,1.0,,,,
,,,1.0,,,,
,,,1.0,,,,
,,,1.0,,,,
,,,3.0,,,1.0,
,,,1.0,,,,
,,,1.0,,,,
,,,1.0,,,,
,,,1.0,,,,
,,,1.0,,,,
,,,1.0,,,,
,,,1.0,,,,
,,,1.0,,,,
,,,3.0,,,,
,,,1.0,,,,
,,,1.0,,,,
,,,1.0,,,,
,,,1.0,,,,
,,,1.0,,,,
,,,1.0,,,,
,,,1.0,,,,
,,,1.0,,,,
,,,1.0,,,,
,,,1.0,,,,
,,,2.0,,,2.0,
,,,1.0,,,,
,,,2.0,,,2.0,
,,,1.0,,,,
,,,1.0,,,,
,,,1.0,,,,
,,,1.0,,,,
,,,1.0,,,,
,,,2.0,,,,
,,,1.0,,,,
,,,1.0,,,,
,,,1.0,,,,
,,,1.0,,,,
,,,1.0,,,,
,,,1.0,,,,
,,,1.0,,,,
,,,1.0,,,,
,,,1.0,,,,
,,,1.0,,,,
,,,1.0,,,,
,,,1.0,,,,
,,,1.0,,,,
,,,1.0,,,,
,,,3.0,,,,
,,,1.0,,,,
,,,1.0,,,,
,,,1.0,,,,
,,,1.0,,,,
,,,1.0,,,,
,,,,1.0,,,
,,,,1.0,,,
,,,,1.0,,,
,,,,1.0,,,
,,,,48.0,,,
,,,,14.0,1.0,,
,,,,11.0,,,
,,,,16.0,,,
,,,,2.0,,,
,,,,1.0,,,
,,,,1.0,,,
,,,,1.0,,,
,,,,1.0,,,
,,,,2.0,,,
,,,,2.0,,,
,,,,1.0,,,
,,,,1.0,,,
,,,,1.0,,,
,,,,1.0,,,
,,,,,7.0,,
,,,,,1.0,,
,,,,,1.0,,
,,,,,1.0,,
,,,,,1.0,,
,,,,,1.0,,
,,,,,1.0,,
,,,,,1.0,,
,,,,,2.0,,
,,,,,1.0,,
,,,,,1.0,,
,,,,,1.0,,
,,,,,1.0,,
,,,,,1.0,,
,,,,,1.0,,
,,,,,1.0,,
,,,,,1.0,,
,,,,,1.0,,
,,,,,1.0,,
,,,,,1.0,,
,,,,,1.0,,
,,,,,1.0,,
,,,,,2.0,,
,,,,,1.0,1.0,
